Code,ENG,KOR,Latitude,Longitude
11110,Jongno-gu,종로구,37.58374456287517,126.9838009154029
11140,Jung-gu,중구,37.56187214064579,126.98978915316417
11170,Yongsan-gu,용산구,37.537466162889636,126.97587188928891
11200,Seongdong-gu,성동구,37.55578981165033,127.02659566904524
11215,Gwangjin-gu,광진구,37.55094371887327,127.09327677758617
11230,Dongdaemun-gu,동대문구,37.58760714783996,127.05329004806075
11260,Jungnang-gu,중랑구,37.602427058001915,127.08900161337323
11290,Seongbuk-gu,성북구,37.603729936890836,127.02485542521507
11305,Gangbuk-gu,강북구,37.63788523073338,127.01992095567347
11320,Dobong-gu,도봉구,37.654930161208746,127.03648456257524
11350,Nowon-gu,노원구,37.641130474454876,127.06858641500942
11380,Eunpyeong-gu,은평구,37.61194704901707,126.92089781797972
11410,Seodaemun-gu,서대문구,37.578729187315034,126.94152352283943
11440,Mapo-gu,마포구,37.55579317979687,126.92606537734919
11470,Yangcheon-gu,양천구,37.52739270880931,126.86371324996661
11500,Gangseo-gu,강서구,37.561169053686605,126.80904641755238
11530,Guro-gu,구로구,37.4933389886357,126.86009664448115
11545,Geumcheon-gu,금천구,37.46345083020204,126.8977391668456
11560,Yeongdeungpo-gu,영등포구,37.52042761771546,126.89865654831067
11590,Dongjak-gu,동작구,37.495251578304305,126.94220425634371
11620,Gwanak-gu,관악구,37.472172894720124,126.93703432047606
11650,Seocho-gu,서초구,37.470310247714785,127.0273293405592
11680,Gangnam-gu,강남구,37.490353129153355,127.07599326451466
11710,Songpa-gu,송파구,37.500921832343586,127.1195938178482
11740,Gangdong-gu,강동구,37.549698731485186,127.1563122364464
26110,Jung-gu,중구,35.10875567926721,129.03139433746173
26140,Seo-gu,서구,35.048918073762025,129.01500957609852
26170,Dong-gu,동구,35.128213814887005,129.04383787496036
26200,Yeongdo-gu,영도구,35.037245098697575,129.09277242247848
26230,Busanjin-gu,부산진구,35.159774811713106,129.04971132691628
26260,Dongnae-gu,동래구,35.20654080060801,129.08851035430172
26290,Nam-gu,남구,35.09115938787769,129.12689638022226
26320,Buk-gu,북구,35.2298980714519,129.02331976007207
26350,Haeundae-gu,해운대구,35.158298956810725,129.13883596335748
26380,Saha-gu,사하구,34.89027268411924,128.9562474645309
26410,Geumjeong-gu,금정구,35.25111198077896,129.09564910575452
26440,Gangseo-gu,강서구,35.01123480921633,128.7762462834474
26470,Yeonje-gu,연제구,35.181196824588916,129.08271720938586
26500,Suyeong-gu,수영구,35.16082760352173,129.11259805402372
26530,Sasang-gu,사상구,35.15127928427321,128.99287745423686
26710,Gijang-gun,기장군,35.217649362591786,129.22950535221
27110,Jung-gu,중구,35.869162030308715,128.59276695427863
27140,Dong-gu,동구,35.92013657767354,128.71380387973278
27170,Seo-gu,서구,35.87462259789595,128.54863221511116
27200,Nam-gu,남구,35.83123119010772,128.58059668411252
27230,Buk-gu,북구,35.92543357983098,128.57193630586664
27260,Suseong-gu,수성구,35.831195696465365,128.6803350411263
27290,Dalseo-gu,달서구,35.82409886324335,128.53261456848296
27710,Dalseong-gun,달성군,35.70379792400151,128.49435209802704
28110,Jung-gu,중구,37.524049420178265,126.58059497087893
28140,Dong-gu,동구,37.477553530532695,126.64131250588711
28170,Nam-gu,남구,37.45875579984002,126.65905266836147
28185,Yeonsu-gu,연수구,37.40822012124744,126.65745774352531
28200,Namdong-gu,남동구,37.4413188443841,126.72563474719347
28237,Bupyeong-gu,부평구,37.49077560797695,126.72369921669707
28245,Gyeyang-gu,계양구,37.56628648708604,126.73448488023854
28710,Ganghwa-gun,강화군,37.590021169798995,126.52790976339571
28720,Ongjin-gun,옹진군,36.92169441428272,125.79195558760425
29110,Dong-gu,동구,35.12147115669094,126.94261100182536
29140,Seo-gu,서구,35.13275205333369,126.85130400913727
29155,Nam-gu,남구,35.08769305401928,126.84366073606344
29170,Buk-gu,북구,35.20444692426083,126.9092359403339
29200,Gwangsan-gu,광산구,35.1694707817743,126.75206349002805
30110,Dong-gu,동구,36.33271468611075,127.47114554164038
30140,Jung-gu,중구,36.28887944227037,127.41430207573579
30170,Seo-gu,서구,36.28248403276223,127.3415717006948
30200,Yuseong-gu,유성구,36.38604332998062,127.33858998258516
30230,Daedeok-gu,대덕구,36.41034771381,127.44493772879956
31110,Jung-gu,중구,35.56668250749268,129.3027869684719
31140,Nam-gu,남구,35.467153307032014,129.34918565314723
31170,Dong-gu,동구,35.491120033522925,129.44540119463315
31200,Buk-gu,북구,35.61633071326913,129.45644088427454
31710,Ulju-gun,울주군,35.509125051111624,129.2509826926525
36110,Sejong-si,세종특별자치시,36.58078747024842,127.25433050850306
41111,"Jangan-gu, Suwon-si",수원시 장안구,37.30491172258226,127.00020907447988
41113,"Gwonseon-gu, Suwon-si",수원시 권선구,37.25916582569269,126.98573633354667
41115,"Paldal-gu, Suwon-si",수원시 팔달구,37.280249112499085,127.01682819246764
41117,"Yeongtong-gu, Suwon-si",수원시 영통구,37.267753913229434,127.05711789833263
41131,"Sujeong-gu, Seongnam-si",성남시 수정구,37.4421592478889,127.11302732310234
41133,"Jungwon-gu, Seongnam-si",성남시 중원구,37.43448819131011,127.16488798524226
41135,"Bundang-gu, Seongnam-si",성남시 분당구,37.375772983243415,127.10370549591602
41150,Uijeongbu-si,의정부시,37.7394745043382,127.07560476046126
41171,"Manan-gu, Anyang-si",안양시만안구,37.41480351306202,126.90891284335709
41173,"Dongan-gu, Anyang-si",안양시동안구,37.39304716486453,126.96590527981776
41190,Bucheon-si,부천시,37.50803418760466,126.78905288688246
41210,Gwangmyeong-si,광명시,37.45034726363346,126.86108891573343
41220,Pyeongtaek-si,평택시,37.04771997130676,127.03543519851621
41250,Dongducheon-si,동두천시,37.91465587527497,127.07354465177576
41271,"Sangnok-gu, Ansan-si",안산시상록구,37.308240099051154,126.87650355872222
41273,"Danwon-gu, Ansan-si",안산시단원구,37.081517189216,126.46434849638332
41281,"Deogyang-gu, Goyang-si",고양시덕양구,37.66089909205369,126.87604833115702
41285,"Ilsandong-gu, Goyang-si",고양시일산동구,37.682588165292074,126.80429158172973
41287,"Ilsanseo-gu, Goyang-si",고양시일산서구,37.690699442651365,126.73628609983899
41290,Gwacheon-si,과천시,37.43383914457613,127.00562703561225
41310,Guri-si,구리시,37.602455591967086,127.12595096164848
41360,Namyangju-si,남양주시,37.66107526745443,127.2355304958197
41370,Osan-si,오산시,37.16090763014204,127.05205854738321
41390,Siheung-si,시흥시,37.40075760454386,126.79718461844062
41410,Gunpo-si,군포시,37.33864510273172,126.93043560214309
41430,Uiwang-si,의왕시,37.35973635723313,126.97455216110347
41450,Hanam-si,하남시,37.51334672749815,127.18851589633546
41461,"Cheoin-gu, Yongin-si",용인시처인구,37.19920680859311,127.2476450030659
41463,"Giheung-gu, Yongin-si",용인시기흥구,37.25358904656581,127.10310637593565
41465,"Suji-gu, Yongin-si",용인시수지구,37.338442706756716,127.07668640808829
41480,Paju-si,파주시,37.85425275159182,126.80876223755911
41500,Icheon-si,이천시,37.18759449655433,127.51259495306348
41550,Anseong-si,안성시,37.03405211042147,127.26991323766946
41570,Gimpo-si,김포시,37.58771022421251,126.57484710666779
41590,Hwaseong-si,화성시,37.17746464579656,126.79448070567163
41610,Gwangju-si,광주시,37.399818436063306,127.27073773257902
41630,Yangju-si,양주시,37.807490422146984,126.9966147706023
41650,Pocheon-si,포천시,37.98324176327752,127.23338241611697
41670,Yeoju-si,여주시,37.30022286988881,127.58281856423694
